number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood
53,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:46:55.814656,2025-01-27 21:47:54.264976,0 days 00:00:58.450320,-3.3187737768388867
54,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:47:54.734117,2025-01-27 21:48:54.802516,0 days 00:01:00.068399,-3.3187737768388867
55,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:48:55.266177,2025-01-27 21:49:54.861961,0 days 00:00:59.595784,-3.3187737768388867
56,-3.3170866919662485,4.5,0.1,0.5,3.25,COMPLETE,2025-01-27 21:49:55.332401,2025-01-27 21:50:54.014912,0 days 00:00:58.682511,-3.3170866919662485
57,-3.317610902139635,5.0,0.2,0.5,2.75,COMPLETE,2025-01-27 21:50:54.494437,2025-01-27 21:51:49.751579,0 days 00:00:55.257142,-3.317610902139635
58,-3.316346706695929,4.25,0.1,0.5,3.25,COMPLETE,2025-01-27 21:51:50.250295,2025-01-27 21:52:50.721056,0 days 00:01:00.470761,-3.316346706695929
59,-3.3062670871699393,4.0,0.2,0.4,3.0,COMPLETE,2025-01-27 21:52:51.219063,2025-01-27 21:53:41.308704,0 days 00:00:50.089641,-3.3062670871699393
60,-3.316348176975469,4.75,0.1,0.5,3.5,COMPLETE,2025-01-27 21:53:41.808666,2025-01-27 21:54:43.866072,0 days 00:01:02.057406,-3.316348176975469
61,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:54:44.359991,2025-01-27 21:55:43.556836,0 days 00:00:59.196845,-3.3187737768388867
62,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:55:45.068295,2025-01-27 21:56:44.433427,0 days 00:00:59.365132,-3.3187737768388867
63,-3.318165617702537,5.0,0.1,0.5,3.0,COMPLETE,2025-01-27 21:56:44.926597,2025-01-27 21:57:45.525601,0 days 00:01:00.599004,-3.318165617702537
64,-3.3176365320543075,4.75,0.2,0.5,2.5,COMPLETE,2025-01-27 21:57:46.024801,2025-01-27 21:58:35.760524,0 days 00:00:49.735723,-3.3176365320543075
65,-3.296651352901784,4.5,0.1,0.2,2.25,COMPLETE,2025-01-27 21:58:36.244653,2025-01-27 21:59:28.243418,0 days 00:00:51.998765,-3.296651352901784
66,-3.3075049617003813,4.25,0.2,0.4,2.75,COMPLETE,2025-01-27 21:59:28.766553,2025-01-27 22:00:19.062274,0 days 00:00:50.295721,-3.3075049617003813
67,-3.3191896992950167,4.75,0.1,0.5,3.0,COMPLETE,2025-01-27 22:00:19.544514,2025-01-27 22:01:20.281833,0 days 00:01:00.737319,-3.3191896992950167
68,-3.318097389391704,5.0,0.1,0.5,3.25,COMPLETE,2025-01-27 22:01:21.232474,2025-01-27 22:02:21.600728,0 days 00:01:00.368254,-3.318097389391704
