number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood,system_attrs_auto:sampler
58,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:23:05.141173,2025-01-27 17:23:56.450596,0 days 00:00:51.309423,-3.319827168001364,GPSampler
59,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:23:56.905696,2025-01-27 17:24:46.834896,0 days 00:00:49.929200,-3.319827168001364,GPSampler
60,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:24:47.273382,2025-01-27 17:25:38.386277,0 days 00:00:51.112895,-3.319827168001364,GPSampler
61,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:25:38.878108,2025-01-27 17:26:30.479313,0 days 00:00:51.601205,-3.319827168001364,GPSampler
62,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:26:30.946582,2025-01-27 17:27:22.277814,0 days 00:00:51.331232,-3.319827168001364,GPSampler
63,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:27:22.712652,2025-01-27 17:28:15.533606,0 days 00:00:52.820954,-3.319827168001364,GPSampler
64,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:28:15.991520,2025-01-27 17:29:06.328947,0 days 00:00:50.337427,-3.319827168001364,GPSampler
65,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:29:06.781129,2025-01-27 17:29:59.152518,0 days 00:00:52.371389,-3.319827168001364,GPSampler
66,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:29:59.589486,2025-01-27 17:30:50.658016,0 days 00:00:51.068530,-3.319827168001364,GPSampler
67,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:30:51.116350,2025-01-27 17:31:42.627295,0 days 00:00:51.510945,-3.319827168001364,GPSampler
68,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:31:43.100969,2025-01-27 17:32:34.502492,0 days 00:00:51.401523,-3.319827168001364,GPSampler
69,-3.3110379975012934,5.0,0.1,0.4,2.5,COMPLETE,2025-01-27 17:32:34.959023,2025-01-27 17:33:25.468024,0 days 00:00:50.509001,-3.3110379975012934,GPSampler
70,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:33:27.040420,2025-01-27 17:34:17.242489,0 days 00:00:50.202069,-3.319827168001364,GPSampler
71,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:34:17.690541,2025-01-27 17:35:09.169101,0 days 00:00:51.478560,-3.319827168001364,GPSampler
72,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:35:09.641699,2025-01-27 17:36:01.884036,0 days 00:00:52.242337,-3.319827168001364,GPSampler
73,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:36:02.311258,2025-01-27 17:36:54.866081,0 days 00:00:52.554823,-3.319827168001364,GPSampler
74,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:36:55.307675,2025-01-27 17:37:46.334834,0 days 00:00:51.027159,-3.319827168001364,GPSampler
75,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:37:46.808783,2025-01-27 17:38:37.424727,0 days 00:00:50.615944,-3.319827168001364,GPSampler
76,-3.3110296091557863,1.0,0.1,0.5,3.25,COMPLETE,2025-01-27 17:38:37.860108,2025-01-27 17:39:21.767631,0 days 00:00:43.907523,-3.3110296091557863,GPSampler
77,-3.3101035025432117,5.0,0.1,0.5,1.0,COMPLETE,2025-01-27 17:39:22.222676,2025-01-27 17:40:06.830117,0 days 00:00:44.607441,-3.3101035025432117,GPSampler
78,-3.2893374532197424,1.0,0.1,0.1,1.0,COMPLETE,2025-01-27 17:40:07.296137,2025-01-27 17:40:37.529318,0 days 00:00:30.233181,-3.2893374532197424,GPSampler
79,-3.308737992383608,5.0,1.0,0.5,3.25,COMPLETE,2025-01-27 17:40:37.969489,2025-01-27 17:41:21.356855,0 days 00:00:43.387366,-3.308737992383608,GPSampler
80,-3.305096371301037,1.0,1.0,0.5,1.0,COMPLETE,2025-01-27 17:41:21.765301,2025-01-27 17:42:10.919864,0 days 00:00:49.154563,-3.305096371301037,GPSampler
81,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:42:11.340429,2025-01-27 17:43:02.117616,0 days 00:00:50.777187,-3.319827168001364,GPSampler
82,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:43:02.760657,2025-01-27 17:43:55.122322,0 days 00:00:52.361665,-3.319827168001364,GPSampler
83,-3.2908790073155494,5.0,0.1,0.1,5.0,COMPLETE,2025-01-27 17:43:55.559021,2025-01-27 17:44:36.956927,0 days 00:00:41.397906,-3.2908790073155494,GPSampler
84,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:44:37.382442,2025-01-27 17:45:27.982108,0 days 00:00:50.599666,-3.319827168001364,GPSampler
85,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:45:28.395715,2025-01-27 17:46:18.291208,0 days 00:00:49.895493,-3.319827168001364,GPSampler
86,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:46:18.714744,2025-01-27 17:47:08.654963,0 days 00:00:49.940219,-3.319827168001364,GPSampler
87,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:47:09.077569,2025-01-27 17:47:59.543990,0 days 00:00:50.466421,-3.319827168001364,GPSampler
88,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:48:01.085886,2025-01-27 17:48:52.125406,0 days 00:00:51.039520,-3.319827168001364,GPSampler
89,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:48:52.548612,2025-01-27 17:49:44.289801,0 days 00:00:51.741189,-3.319827168001364,GPSampler
90,-3.2889436533085408,1.0,1.0,0.1,5.0,COMPLETE,2025-01-27 17:49:44.724412,2025-01-27 17:50:29.332105,0 days 00:00:44.607693,-3.2889436533085408,GPSampler
91,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:50:29.766358,2025-01-27 17:51:20.791000,0 days 00:00:51.024642,-3.319827168001364,GPSampler
92,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:51:21.218736,2025-01-27 17:52:11.543705,0 days 00:00:50.324969,-3.319827168001364,GPSampler
93,-3.303470121015019,5.0,1.0,0.5,5.0,COMPLETE,2025-01-27 17:52:12.004757,2025-01-27 17:52:59.036127,0 days 00:00:47.031370,-3.303470121015019,GPSampler
94,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:52:59.483546,2025-01-27 17:53:50.954588,0 days 00:00:51.471042,-3.319827168001364,GPSampler
95,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:53:51.363418,2025-01-27 17:54:42.242493,0 days 00:00:50.879075,-3.319827168001364,GPSampler
96,-3.292579095877321,5.0,0.1,0.1,2.0,COMPLETE,2025-01-27 17:54:42.665982,2025-01-27 17:55:22.788792,0 days 00:00:40.122810,-3.292579095877321,GPSampler
97,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:55:23.234659,2025-01-27 17:56:14.568060,0 days 00:00:51.333401,-3.319827168001364,GPSampler
98,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:56:15.013290,2025-01-27 17:57:05.681780,0 days 00:00:50.668490,-3.319827168001364,GPSampler
99,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:57:06.089635,2025-01-27 17:57:56.911748,0 days 00:00:50.822113,-3.319827168001364,GPSampler
